id,manufacturer,model,icao24,callsign,origin_country,altitude_m,velocity_ms,estimated_fuel_burn_kg_h,estimated_co2_kg_h,captured_at,loaded_at
290,Airbus,AIRBUS A320-232,40123f,BAW617,United Kingdom,8854.44,215.71,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
291,Boeing,737NG 9GJER/W,49d38c,TVS53B,Czech Republic,8557.26,243.05,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
292,Airbus,AIRBUS A320-232,406bbb,BAW69V,United Kingdom,10972.8,215.1,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
293,Boeing,777 39PER,780504,CES552,China,1958.34,140.66,7500,23700,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
294,Airbus,A330 223,71c228,TWB406,Republic of Korea,10744.2,251.06,5000,15800,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
295,Airbus,A321 212,34250a,IBE09DB,Spain,10668,242.64,2700,8532,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
296,Boeing,Boeing 777-3B5(ER),71c210,KAL908,Republic of Korea,10058.4,259.22,7500,23700,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
297,Airbus,A330 223,71c211,TWB408,Republic of Korea,10668,243.21,5000,15800,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
298,Airbus,AIRBUS A320-214,406e65,EZY97JB,United Kingdom,10972.8,206.72,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
299,Boeing,BOEING 737-808,406e2e,EXS9P,United Kingdom,4724.4,195.85,2400,7584,2026-08-17 20:37:23,2026-08-17 20:37:37.750911
300,Boeing,737NG 8F2/W,4ba916,THY4HA,Turkey,11277.6,0.77,2400,7584,2026-08-17 18:06:52,2026-08-17 20:37:37.750911
301,Airbus,AIRBUS A319-111,405b6a,EZY86LX,United Kingdom,1424.94,136.12,2300,7268,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
302,Boeing,737NG 8F2/W,4ba90f,THY2MJ,Turkey,3063.24,234.2,2400,7584,2026-08-17 19:40:44,2026-08-17 20:37:37.750911
303,Airbus,A330 223,71c276,TWB402,Republic of Korea,10668,259.85,5000,15800,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
304,Boeing,737NG 8F2/W,4ba90b,THY1KA,Turkey,2141.22,124.45,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
305,Boeing,737NG 8F2/W,4ba90d,THY479,Turkey,11277.6,239.72,2400,7584,2026-08-17 20:33:48,2026-08-17 20:37:37.750911
306,Airbus,AIRBUS A319-111,405b65,EZY47ND,United Kingdom,11597.64,207.83,2300,7268,2026-08-17 20:37:25,2026-08-17 20:37:37.750911
307,Airbus,AIRBUS A319-111,405b64,EZY26HM,United Kingdom,9845.04,207.58,2300,7268,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
308,Boeing,737NG 8F2/W,4ba905,TKJ8RG,Turkey,10668,540.4,2400,7584,2026-08-17 20:02:25,2026-08-17 20:37:37.750911
309,Boeing,737NG 8F2/W,4ba904,TKJ2HX,Turkey,7520.94,0.77,2400,7584,2026-08-17 19:47:08,2026-08-17 20:37:37.750911
310,Airbus,A321 212,3423c3,IBE07MV,Spain,762,76.25,2700,8532,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
311,Airbus,AIRBUS A320-214,406cd2,EZY94NU,United Kingdom,10980.42,223.95,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
312,Boeing,BOEING 737-8AS,4ca251,RYR200F,Ireland,998.22,98.5,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
313,Boeing,BOEING 737-8K5,406cab,EXS11AF,United Kingdom,11582.4,215.94,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
314,Boeing,BOEING 737-8K5,406caa,EXS75JC,United Kingdom,9486.9,216.08,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
